Code,Trouble Code System,Condition Description,Full_Description,Possible_Causes,Diagnostic_Aids,Application,Context_For_RAG
P2107,Powertrain,Throttle Actuator Control (TAC) Module Processor,"The electronic throttle control (ETC) area of the powertrain control module (PCM) failed the
self-test. The concern could be the result of an incorrect throttle position (TP) command, or
TAC motor wires shorted together.
Possible (cid:1) TAC motor wire shorted together
Causes: (cid:1) TAC motor circuit wires short to PWR
(cid:1) Damaged electronic throttle body (ETB)
(cid:1) Damaged PCM
Diagnostic A TAC motor circuit PID reading may indicate a concern, if available.
Aids:",N/A,N/A,,"DTC Code: P2107
Title: Throttle Actuator Control (TAC) Module Processor
System Description: The electronic throttle control (ETC) area of the powertrain control module (PCM) failed the
self-test. The concern could be the result of an incorrect throttle position (TP) command, or
TAC motor wires shorted together.
Possible (cid:1) TAC motor wire shorted together
Causes: (cid:1) TAC motor circuit wires short to PWR
(cid:1) Damaged electronic throttle body (ETB)
(cid:1) Damaged PCM
Diagnostic A TAC motor circuit PID reading may indicate a concern, if available.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2110,Powertrain,Throttle Actuator Control (TAC) System - Forced Limited RPM,"The TAC system is in the failure mode effects management (FMEM) mode of forced
limited RPM.
Possible
Causes:
Diagnostic This DTC is an informational DTC and may be set in combination with a number of other
Aids: DTCs which are causing the FMEM. Diagnose other DTCs first.",N/A,N/A,,"DTC Code: P2110
Title: Throttle Actuator Control (TAC) System - Forced Limited RPM
System Description: The TAC system is in the failure mode effects management (FMEM) mode of forced
limited RPM.
Possible
Causes:
Diagnostic This DTC is an informational DTC and may be set in combination with a number of other
Aids: DTCs which are causing the FMEM. Diagnose other DTCs first.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2111,Powertrain,Throttle Actuator Control (TAC) System - Stuck Open,"This powertrain control module (PCM) fault status indicates the throttle plate is at a
greater angle than commanded.
Possible (cid:1) Binding throttle body, stuck open
Causes: (cid:1) TAC motor circuits are cross-wired
(cid:1) TAC motor harness circuits are shorted together
(cid:1) Damaged PCM
Diagnostic
Aids:",N/A,N/A,,"DTC Code: P2111
Title: Throttle Actuator Control (TAC) System - Stuck Open
System Description: This powertrain control module (PCM) fault status indicates the throttle plate is at a
greater angle than commanded.
Possible (cid:1) Binding throttle body, stuck open
Causes: (cid:1) TAC motor circuits are cross-wired
(cid:1) TAC motor harness circuits are shorted together
(cid:1) Damaged PCM
Diagnostic
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2112,Powertrain,Throttle Actuator Control (TAC) System - Stuck Closed,"This powertrain control module (PCM) fault status indicates the throttle plate is at a lower
angle than commanded.
Possible (cid:1) Binding throttle body, stuck closed
Causes: (cid:1) Damaged PCM
Diagnostic
Aids:",N/A,N/A,,"DTC Code: P2112
Title: Throttle Actuator Control (TAC) System - Stuck Closed
System Description: This powertrain control module (PCM) fault status indicates the throttle plate is at a lower
angle than commanded.
Possible (cid:1) Binding throttle body, stuck closed
Causes: (cid:1) Damaged PCM
Diagnostic
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2121,Powertrain,Throttle/Pedal Position Sensor/Switch D Circuit Range/Performance,"The accelerator pedal position (APP) sensor fault flag is set for sensor 1 by the powertrain
control module (PCM), indicating the signal is out of the normal self-test operating range.
Possible (cid:1) APP sensor 1 is open, or short to ground or voltage
Causes: (cid:1) APP sensor signal circuits are short together
(cid:1) Damaged APP sensor
(cid:1) Damaged PCM
Diagnostic An APP1 sensor PID reading may indicate a concern.
Aids:",N/A,N/A,,"DTC Code: P2121
Title: Throttle/Pedal Position Sensor/Switch D Circuit Range/Performance
System Description: The accelerator pedal position (APP) sensor fault flag is set for sensor 1 by the powertrain
control module (PCM), indicating the signal is out of the normal self-test operating range.
Possible (cid:1) APP sensor 1 is open, or short to ground or voltage
Causes: (cid:1) APP sensor signal circuits are short together
(cid:1) Damaged APP sensor
(cid:1) Damaged PCM
Diagnostic An APP1 sensor PID reading may indicate a concern.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2122,Powertrain,Throttle/Pedal Position Sensor/Switch D Circuit Low,The accelerator pedal position (APP) sensor 1 is out of self-test range low.,"(cid:1) APP sensor harness short to ground
(cid:1) Damaged APP sensor",An APP1 sensor PID reading may indicate a concern.,,"DTC Code: P2122
Title: Throttle/Pedal Position Sensor/Switch D Circuit Low
System Description: The accelerator pedal position (APP) sensor 1 is out of self-test range low.
Possible Causes: (cid:1) APP sensor harness short to ground
(cid:1) Damaged APP sensor
Diagnostic Steps/Aids: An APP1 sensor PID reading may indicate a concern.
Vehicle Application: "
P2123,Powertrain,Throttle/Pedal Position Sensor/Switch D Circuit High,The accelerator pedal position (APP) sensor 1 is out of self-test range high.,"(cid:1) APP sensor harness open
(cid:1) APP sensor harness is short to VREF
(cid:1) Damaged APP sensor",An APP1 sensor PID reading may indicate a concern.,,"DTC Code: P2123
Title: Throttle/Pedal Position Sensor/Switch D Circuit High
System Description: The accelerator pedal position (APP) sensor 1 is out of self-test range high.
Possible Causes: (cid:1) APP sensor harness open
(cid:1) APP sensor harness is short to VREF
(cid:1) Damaged APP sensor
Diagnostic Steps/Aids: An APP1 sensor PID reading may indicate a concern.
Vehicle Application: "
P2126,Powertrain,Throttle/Pedal Position Sensor/Switch E Circuit Range/Performance,"The accelerator pedal position (APP) sensor fault flag is set for sensor 2 by the powertrain
control module (PCM), indicating the signal is out of the normal self-test operating range.
Possible (cid:1) APP sensor assembly is binding
Causes: (cid:1) Damaged APP sensor
(cid:1) Damaged PCM
Diagnostic An APP2 sensor PID reading may indicate a concern.
Aids:",N/A,N/A,,"DTC Code: P2126
Title: Throttle/Pedal Position Sensor/Switch E Circuit Range/Performance
System Description: The accelerator pedal position (APP) sensor fault flag is set for sensor 2 by the powertrain
control module (PCM), indicating the signal is out of the normal self-test operating range.
Possible (cid:1) APP sensor assembly is binding
Causes: (cid:1) Damaged APP sensor
(cid:1) Damaged PCM
Diagnostic An APP2 sensor PID reading may indicate a concern.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2127,Powertrain,Throttle/Pedal Position Sensor/Switch E Circuit Low,The accelerator pedal position (APP) sensor 2 is out of self-test range low.,"(cid:1) APP sensor circuit is short to ground
(cid:1) APP sensor circuit is open
(cid:1) Damaged APP sensor",An APP2 sensor PID reading may indicate a concern.,,"DTC Code: P2127
Title: Throttle/Pedal Position Sensor/Switch E Circuit Low
System Description: The accelerator pedal position (APP) sensor 2 is out of self-test range low.
Possible Causes: (cid:1) APP sensor circuit is short to ground
(cid:1) APP sensor circuit is open
(cid:1) Damaged APP sensor
Diagnostic Steps/Aids: An APP2 sensor PID reading may indicate a concern.
Vehicle Application: "
P2128,Powertrain,Throttle/Pedal Position Sensor/Switch E Circuit High,The accelerator pedal position (APP) sensor 2 is out of self-test range high.,"(cid:1) APP sensor assembly is binding
(cid:1) APP sensor harness is short to voltage
(cid:1) Damaged APP sensor",An APP2 sensor PID reading may indicate a concern.,,"DTC Code: P2128
Title: Throttle/Pedal Position Sensor/Switch E Circuit High
System Description: The accelerator pedal position (APP) sensor 2 is out of self-test range high.
Possible Causes: (cid:1) APP sensor assembly is binding
(cid:1) APP sensor harness is short to voltage
(cid:1) Damaged APP sensor
Diagnostic Steps/Aids: An APP2 sensor PID reading may indicate a concern.
Vehicle Application: "
P2131,Powertrain,Throttle/Pedal Position Sensor/Switch F Circuit Range/Performance,"The accelerator pedal position (APP) sensor fault flag is set for sensor 3 by the powertrain
control module (PCM), indicating the signal is out of the normal self-test operating range.
Possible (cid:1) APP sensor assembly is binding
Causes: (cid:1) Damaged APP sensor
(cid:1) Damaged PCM
Diagnostic An APP3 sensor PID reading may indicate a concern.
Aids:",N/A,N/A,,"DTC Code: P2131
Title: Throttle/Pedal Position Sensor/Switch F Circuit Range/Performance
System Description: The accelerator pedal position (APP) sensor fault flag is set for sensor 3 by the powertrain
control module (PCM), indicating the signal is out of the normal self-test operating range.
Possible (cid:1) APP sensor assembly is binding
Causes: (cid:1) Damaged APP sensor
(cid:1) Damaged PCM
Diagnostic An APP3 sensor PID reading may indicate a concern.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2132,Powertrain,Throttle/Pedal Position Sensor/Switch F Circuit Low,The accelerator pedal position (APP) sensor 3 is out of self-test range low.,"(cid:1) APP sensor assembly is binding
(cid:1) APP sensor harness short to ground
(cid:1) Damaged APP sensor",An APP3 sensor PID reading may indicate a concern.,,"DTC Code: P2132
Title: Throttle/Pedal Position Sensor/Switch F Circuit Low
System Description: The accelerator pedal position (APP) sensor 3 is out of self-test range low.
Possible Causes: (cid:1) APP sensor assembly is binding
(cid:1) APP sensor harness short to ground
(cid:1) Damaged APP sensor
Diagnostic Steps/Aids: An APP3 sensor PID reading may indicate a concern.
Vehicle Application: "
P2133,Powertrain,Throttle/Pedal Position Sensor/Switch F Circuit High,The accelerator pedal position (APP) sensor 3 is out of self-test range high.,"(cid:1) APP sensor assembly is binding
(cid:1) APP sensor harness is short to voltage
(cid:1) Damaged APP sensor",An APP3 sensor PID reading may indicate a concern.,,"DTC Code: P2133
Title: Throttle/Pedal Position Sensor/Switch F Circuit High
System Description: The accelerator pedal position (APP) sensor 3 is out of self-test range high.
Possible Causes: (cid:1) APP sensor assembly is binding
(cid:1) APP sensor harness is short to voltage
(cid:1) Damaged APP sensor
Diagnostic Steps/Aids: An APP3 sensor PID reading may indicate a concern.
Vehicle Application: "
P2135,Powertrain,Throttle/Pedal Position Sensor/Switch A/B Voltage Correlation,"The powertrain control module (PCM) flagged a concern indicating that throttle position
(TP) 1 and TP2 disagree by more than a calibrated limit.
Possible (cid:1) TP sensor shorted internally to VREF
Causes: (cid:1) TP sensor harness is short to voltage
(cid:1) TP sensor signal wires are short together
(cid:1) Damaged TP sensor
Diagnostic Compare the TP1 and TP2 PID values for a full sweep and correlation. Refer to the chart
Aids: in pinpoint test DV. GO to Pinpoint Test DV .
Check the wiring harness for an open or a short circuit. Check the TP sensor for an
internal open or short circuit. If no circuit concerns are present, install a new TP sensor.",N/A,N/A,,"DTC Code: P2135
Title: Throttle/Pedal Position Sensor/Switch A/B Voltage Correlation
System Description: The powertrain control module (PCM) flagged a concern indicating that throttle position
(TP) 1 and TP2 disagree by more than a calibrated limit.
Possible (cid:1) TP sensor shorted internally to VREF
Causes: (cid:1) TP sensor harness is short to voltage
(cid:1) TP sensor signal wires are short together
(cid:1) Damaged TP sensor
Diagnostic Compare the TP1 and TP2 PID values for a full sweep and correlation. Refer to the chart
Aids: in pinpoint test DV. GO to Pinpoint Test DV .
Check the wiring harness for an open or a short circuit. Check the TP sensor for an
internal open or short circuit. If no circuit concerns are present, install a new TP sensor.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2195,Powertrain,"O2 Sensor Signal Biased/Stuck Lean - Bank 1, Sensor 1","A heated oxygen sensor (HO2S) indicating lean at the end of a test is trying to correct for
an over-rich condition. The test fails when the fuel control system no longer detects
switching for a calibrated amount of time.
Possible Electrical:
Causes:
(cid:1) Short to VPWR in the harness or HO2S
(cid:1) Water in the harness connector
(cid:1) Open/shorted HO2S circuit
(cid:1) Corrosion or incorrect harness connections
(cid:1) Damaged HO2S
(cid:1) Damaged powertrain control module (PCM)
Fuel System:
(cid:1) Excessive fuel pressure
(cid:1) Leaking/contaminated fuel injectors
(cid:1) Leaking fuel pressure regulator
(cid:1) Low fuel pressure or running out of fuel
(cid:1) Vapor recovery system
Intake Air System:
(cid:1) Air leaks after the mass air flow (MAF) sensor
(cid:1) Vacuum leaks
(cid:1) Positive crankcase ventilation (PCV) system
(cid:1) Improperly seated engine oil dipstick
EGR System:
(cid:1) Leaking gasket
(cid:1) Stuck EGR valve
(cid:1) Leaking diaphragm or EGR vacuum regulator
Base Engine:
(cid:1) Oil overfill
(cid:1) Camshaft timing
(cid:1) Cylinder compression
(cid:1) Exhaust leaks before or near the HO2S(s)
Diagnostic
Aids:",N/A,N/A,,"DTC Code: P2195
Title: O2 Sensor Signal Biased/Stuck Lean - Bank 1, Sensor 1
System Description: A heated oxygen sensor (HO2S) indicating lean at the end of a test is trying to correct for
an over-rich condition. The test fails when the fuel control system no longer detects
switching for a calibrated amount of time.
Possible Electrical:
Causes:
(cid:1) Short to VPWR in the harness or HO2S
(cid:1) Water in the harness connector
(cid:1) Open/shorted HO2S circuit
(cid:1) Corrosion or incorrect harness connections
(cid:1) Damaged HO2S
(cid:1) Damaged powertrain control module (PCM)
Fuel System:
(cid:1) Excessive fuel pressure
(cid:1) Leaking/contaminated fuel injectors
(cid:1) Leaking fuel pressure regulator
(cid:1) Low fuel pressure or running out of fuel
(cid:1) Vapor recovery system
Intake Air System:
(cid:1) Air leaks after the mass air flow (MAF) sensor
(cid:1) Vacuum leaks
(cid:1) Positive crankcase ventilation (PCV) system
(cid:1) Improperly seated engine oil dipstick
EGR System:
(cid:1) Leaking gasket
(cid:1) Stuck EGR valve
(cid:1) Leaking diaphragm or EGR vacuum regulator
Base Engine:
(cid:1) Oil overfill
(cid:1) Camshaft timing
(cid:1) Cylinder compression
(cid:1) Exhaust leaks before or near the HO2S(s)
Diagnostic
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
